equipment,model,sub_model,manufacturer,losses_total,abandoned,abandoned and destroyed,captured,captured and destroyed,captured and stripped,damaged,damaged and abandoned,damaged and captured,damaged beyond economical repair,damaged by Bayraktar TB2,destroyed,destroyed by Bayraktar TB2,destroyed by Bayraktar TB2 and Harpoon AShM,sunk
Tanks,T-62M,,the Soviet Union,1,,,,,,,,,,,1.0,,,
Tanks,T-64BV,,the Soviet Union,29,2.0,,4.0,,,2.0,,1.0,,,20.0,,,
Tanks,T-72A,,the Soviet Union,23,1.0,,13.0,,,,,,,,9.0,,,
Tanks,T-72AV,,the Soviet Union,7,,,2.0,,,,,1.0,,,4.0,,,
Tanks,T-72B,,the Soviet Union,144,3.0,,43.0,2.0,1.0,3.0,4.0,5.0,,,83.0,,,
Tanks,T-72B Obr. 1989,,the Soviet Union,58,3.0,1.0,17.0,,1.0,1.0,,3.0,,,32.0,,,
Tanks,T-72BA,,Russia,6,,,4.0,,,1.0,,,,,1.0,,,
Tanks,T-72B3,,Russia,136,8.0,,47.0,1.0,,5.0,3.0,2.0,,,70.0,,,
Tanks,T-72B3 Obr. 2016,,Russia,111,4.0,3.0,51.0,,,,1.0,6.0,,,46.0,,,
Tanks,T-80BV,,the Soviet Union,52,1.0,1.0,15.0,,,,6.0,,,,29.0,,,
Tanks,T-80BK,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Tanks,T-80U,,Russia,71,12.0,3.0,23.0,,2.0,,,2.0,,,29.0,,,
Tanks,T-80UK,,Russia,2,,1.0,1.0,,,,,,,,,,,
Tanks,T-80UE-1,,Russia,5,,,4.0,,,,,,,,1.0,,,
Tanks,T-80UM2,,Russia,1,,,,,,,,,,,1.0,,,
Tanks,T-80BVM,,Russia,27,1.0,,17.0,,,,,,,,9.0,,,
Tanks,T-90A,,Russia,20,2.0,2.0,8.0,,,,,,,,8.0,,,
Tanks,T-90M,,Russia,2,1.0,,,,,,,,,,1.0,,,
Tanks,Unknown tank,,Russia,180,3.0,,3.0,,,19.0,,,,,155.0,,,
Armoured Fighting Vehicles,BRM-1K reconnaissance vehicle,,the Soviet Union,10,,,1.0,,,,,,,,9.0,,,
Armoured Fighting Vehicles,MT-LB,,the Soviet Union,159,17.0,,54.0,,,1.0,,,,,87.0,,,
Armoured Fighting Vehicles,MT-LBVM and MT-LBVMK,,the Soviet Union,85,9.0,,50.0,,,,,,,,26.0,,,
Armoured Fighting Vehicles,MT-LB with ZU-23 AA gun,,the Soviet Union,6,,,,,,,,,,,4.0,2.0,,
Armoured Fighting Vehicles,MT-LBM 6MB,,the Soviet Union,2,1.0,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,MT-LB Ambulance,,the Soviet Union,2,,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,MT-LBu,,the Soviet Union,12,1.0,,5.0,,,,,,,,6.0,,,
Armoured Fighting Vehicles,1V13(M) battery fire control center,,the Soviet Union,10,1.0,2.0,5.0,,,,,,,,2.0,,,
Armoured Fighting Vehicles,1V14 battery command and forward observer vehicle,,the Soviet Union,5,1.0,,3.0,,,,,1.0,,,,,,
Armoured Fighting Vehicles,1V119 artillery fire direction vehicle,,the Soviet Union,7,,,5.0,,,,,,,,2.0,,,
Armoured Fighting Vehicles,Vityaz DT-10PM articulated tracked carrier,,Russia,1,,,,,,,,,,,1.0,,,
Armoured Fighting Vehicles,Vityaz DT-30 articulated tracked carrier,,Russia,3,,,1.0,,,,,1.0,,,1.0,,,
Armoured Fighting Vehicles,GAZ-3344-20 'Aleut' articulated tracked carrier,,Russia,2,,,,,,,,,,,2.0,,,
Armoured Fighting Vehicles,2S1 with ZU-23 AA gun,,the Soviet Union,1,,,1.0,,,,,,,,,,,
Armoured Fighting Vehicles,TZM-T reloader vehicle (for TOS-1A),,Russia,8,,2.0,4.0,,,,,,,,2.0,,,
Armoured Fighting Vehicles,Unknown BTR-D/BMD-2,,the Soviet Union,17,,,1.0,,,,,,,,16.0,,,
Armoured Fighting Vehicles,Unknown BTR-80/BTR-82A,,Russia,34,2.0,,,,,,1.0,,,,31.0,,,
Armoured Fighting Vehicles,Unknown AFV,,Russia,131,4.0,,2.0,,,4.0,,,,,118.0,3.0,,
Infantry Fighting Vehicles,BMP-1(P),,the Soviet Union,107,7.0,,26.0,,,2.0,5.0,2.0,,,65.0,,,
Infantry Fighting Vehicles,BMP-1AM,,Russia,11,2.0,,,1.0,,,1.0,,,,7.0,,,
Infantry Fighting Vehicles,BMP-2(K),,the Soviet Union,324,28.0,,67.0,,,2.0,7.0,7.0,,,213.0,,,
Infantry Fighting Vehicles,BMP-2 675-sb3KDZ,,Russia,1,,,1.0,,,,,,,,,,,
